TradeDate,NTickersWindow,VolumeTotalJanela,NumNegociosTotalJanela,HHI
2025-10-28,15,1541562875.81,10963.0,0.1689637821352271
2025-10-29,1143,1539657122572.65,15974747.0,0.4090144240216154
2025-10-30,1178,2185951408450.89,23298377.0,0.4407846448261789
2025-10-31,1191,2895780880659.22,30952301.0,0.4209724208045519
2025-11-03,1239,2969331364413.8804,36603615.0,0.585304043424272
2025-11-04,1213,3685327842528.9097,44354394.0,0.553470963815611
2025-11-05,1207,4535342861254.56,53567178.0,0.5447890165727445
2025-11-06,1231,4809090858605.641,55241780.0,0.5127745849481786
2025-11-07,1221,4990293131117.34,56355540.0,0.4857717250449654
2025-11-10,1254,5181151571881.17,57155128.0,0.4677998453429982
2025-11-11,1235,5369472269552.88,59507578.0,0.4806687210868428
2025-11-12,1249,5443296257477.56,60046310.0,0.4884707525191293
2025-11-13,1262,5588590417546.92,61790836.0,0.4946929267636504
2025-11-14,1265,5571244858890.42,61621704.0,0.4934601930874705
2025-11-17,1260,5600291488650.68,62062029.0,0.4986515265683948
2025-11-18,1227,5684394786096.0,62411946.0,0.501249613985806
2025-11-19,1246,5729307818448.65,62893431.0,0.4966384024748437
2025-11-21,1243,5650568664388.78,62139033.0,0.4920221176501246
2025-11-24,1248,5742824386216.689,62026682.0,0.4695162286770486
2025-11-25,1255,5820509501883.74,61474757.0,0.4547418178217689
2025-11-26,1268,5863360506726.67,61020348.0,0.4402747632426407
2025-11-27,1169,5239661486853.05,57750729.0,0.4844225915201061
2025-11-28,1268,5116871320424.69,56874098.0,0.4601820840881424
2025-12-01,1281,4145886864121.85,52380678.0,0.6475671129002033
2025-12-02,1248,4368144390764.73,53357677.0,0.6009968630834469
2025-12-03,1255,4644998683893.24,54814420.0,0.5628262464758924
2025-12-04,1236,4910616566014.75,55818339.0,0.5304258792224321
2025-12-05,1259,5571294029039.05,61709489.0,0.4834426661778474
